period,sex,cobertura
1980-1984,1,91.02564102564102
1980-1984,2,92.3076923076923
1985-1989,1,94.87179487179486
1985-1989,2,94.87179487179486
1990-1994,1,94.87179487179486
1990-1994,2,94.87179487179486
1995-1999,1,91.02564102564102
1995-1999,2,98.71794871794873
2000-2004,1,89.74358974358975
2000-2004,2,97.43589743589743
2005-2009,1,92.3076923076923
2005-2009,2,98.71794871794873
2010-2014,1,87.17948717948718
2010-2014,2,98.71794871794873
2015-2019,1,89.74358974358975
2015-2019,2,98.71794871794873
2020-2024,1,84.61538461538461
2020-2024,2,94.87179487179486
